MAPS CLERMONT TMA CLERMONT               N045.56.37.000 E003.04.10.000 N045.59.26.000 E003.32.21.000 COLOR_CFE-TMA1
                                         N044.28.09.310 E002.18.25.420 N044.26.53.614 E002.17.41.575 COLOR_CFE-TMA1
                                         N044.26.53.614 E002.17.41.575 N044.26.53.614 E002.17.41.575 COLOR_CFE-TMA1
                                         N044.26.53.614 E002.17.41.575 N044.25.33.974 E002.17.14.828 COLOR_CFE-TMA1
                                         N044.25.33.974 E002.17.14.828 N044.25.33.974 E002.17.14.828 COLOR_CFE-TMA1
                                         N044.25.33.974 E002.17.14.828 N044.24.12.354 E002.17.05.838 COLOR_CFE-TMA1
                                         N044.24.12.354 E002.17.05.838 N044.24.12.354 E002.17.05.838 COLOR_CFE-TMA1
                                         N044.24.12.354 E002.17.05.838 N044.22.50.767 E002.17.14.828 COLOR_CFE-TMA1
                                         N044.22.50.767 E002.17.14.828 N044.22.50.767 E002.17.14.828 COLOR_CFE-TMA1
                                         N044.22.50.767 E002.17.14.828 N044.22.50.000 E002.17.17.000 COLOR_CFE-TMA1
                                         N044.22.50.000 E002.17.17.000 N044.22.50.000 E002.17.17.000 COLOR_CFE-TMA1
                                         N044.22.50.000 E002.17.17.000 N044.28.23.000 E002.07.38.000 COLOR_CFE-TMA1
                                         N044.28.23.000 E002.07.38.000 N044.28.23.000 E002.07.38.000 COLOR_CFE-TMA1
                                         N044.28.23.000 E002.07.38.000 N044.29.07.477 E002.07.58.891 COLOR_CFE-TMA1
                                         N044.29.07.477 E002.07.58.891 N044.29.07.477 E002.07.58.891 COLOR_CFE-TMA1
                                         N044.29.07.477 E002.07.58.891 N044.31.26.798 E002.09.19.526 COLOR_CFE-TMA1
                                         N044.31.26.798 E002.09.19.526 N044.31.26.798 E002.09.19.526 COLOR_CFE-TMA1
                                         N044.31.26.798 E002.09.19.526 N044.33.35.459 E002.11.09.622 COLOR_CFE-TMA1
                                         N044.33.35.459 E002.11.09.622 N044.33.35.459 E002.11.09.622 COLOR_CFE-TMA1
                                         N044.33.35.459 E002.11.09.622 N044.35.30.268 E002.13.26.469 COLOR_CFE-TMA1
                                         N044.35.30.268 E002.13.26.469 N044.35.30.268 E002.13.26.469 COLOR_CFE-TMA1
                                         N044.35.30.268 E002.13.26.469 N044.37.08.375 E002.16.06.697 COLOR_CFE-TMA1
                                         N044.37.08.375 E002.16.06.697 N044.37.08.375 E002.16.06.697 COLOR_CFE-TMA1
                                         N044.37.08.375 E002.16.06.697 N044.38.27.337 E002.19.06.361 COLOR_CFE-TMA1
                                         N044.38.27.337 E002.19.06.361 N044.38.27.337 E002.19.06.361 COLOR_CFE-TMA1
                                         N044.38.27.337 E002.19.06.361 N044.38.30.000 E002.19.08.000 COLOR_CFE-TMA1
                                         N044.38.30.000 E002.19.08.000 N044.26.48.000 E002.39.26.000 COLOR_CFE-TMA1
                                         N044.26.48.000 E002.39.26.000 N044.26.48.000 E002.39.26.000 COLOR_CFE-TMA1
                                         N044.26.48.000 E002.39.26.000 N044.20.06.000 E002.50.54.000 COLOR_CFE-TMA1
                                         N044.20.06.000 E002.50.54.000 N044.20.06.000 E002.50.54.000 COLOR_CFE-TMA1
                                         N044.20.06.000 E002.50.54.000 N044.19.14.571 E002.50.33.110 COLOR_CFE-TMA1
                                         N044.19.14.571 E002.50.33.110 N044.19.14.571 E002.50.33.110 COLOR_CFE-TMA1
                                         N044.19.14.571 E002.50.33.110 N044.16.55.733 E002.49.12.475 COLOR_CFE-TMA1
                                         N044.16.55.733 E002.49.12.475 N044.16.55.733 E002.49.12.475 COLOR_CFE-TMA1
                                         N044.16.55.733 E002.49.12.475 N044.14.47.682 E002.47.22.378 COLOR_CFE-TMA1
                                         N044.14.47.682 E002.47.22.378 N044.14.47.682 E002.47.22.378 COLOR_CFE-TMA1
